Gene	Mean_zscore_NoBacteriaTripartite	Mean_zscore_VariovoraxCL14	Mean_zscore_ArthrobacterCL28	Mean_zscore_Duoassociation	GLM_ArthrobacterCL28vsNB_log2FoldChange	GLM_ArthrobacterCL28vsNB_pvalue	GLM_ArthrobacterCL28vsNB_padj	GLM_ArthrobacterCL28vsDuoassociation_log2FoldChange	GLM_ArthrobacterCL28vsDuoassociation_pvalue	GLM_ArthrobacterCL28vsDuoassociation_padj	Mean_zscore_NoBacteriaDropout	Mean_zscore_Full	Mean_zscore_VariovoraxDropout	GLM_VariovoraxDropoutvsNB_log2FoldChange	GLM_VariovoraxDropoutvsNB_pvalue	GLM_VariovoraxDropoutvsNB_padj	GLM_VariovoraxDropoutvsFull_log2FoldChange	GLM_VariovoraxDropoutvsFull_pvalue	GLM_VariovoraxDropoutvsFull_padj
AT5G04960	-1.39090225556858	0.081758038779083	0.999615277479111	-0.246831962917044	1.49385095370258	8.41416741711242e-09	3.33274196390844e-06	0.707990706231157	0.000627920491223809	0.0506561315766077	-0.250542221445198	-0.709885117306873	1.1682759286198	0.997129189171548	0.00840795827746464	0.215993001297255	1.36496057976886	0.000483124219105358	0.134479305284818
AT5G05500	-0.999411062943799	-0.113504840797192	1.1963897141551	-0.483238235591635	1.02933543745562	5.22595894388992e-05	0.00614303044888222	0.745643669530405	0.000520063858482952	0.0444143239142072	-0.431499426503796	-0.713767196681849	1.14965102624431	1.04855301706123	0.00669670404041033	0.187568408334272	1.22684260246252	0.00191979083840427	0.269672437315848
AT5G06630	-1.20253697199479	0.00316833942413345	1.15732797511269	-0.438974131339955	1.72118094760335	1.95564113443376e-11	1.14747766406983e-08	1.08789678683007	3.14697849895857e-07	0.000110746514038351	-0.837455986216741	-0.853372112267908	1.42184076497487	2.15855464161217	6.15232934254337e-12	5.43221384140187e-09	2.01702474000883	9.81865493642733e-11	9.10287499156178e-07
AT5G06640	-1.09952300678824	-0.00805748199763254	1.14322561195939	-0.475454325888814	1.43815826066651	3.87012594781325e-07	8.81421184614468e-05	0.970341111461902	6.47277116419279e-05	0.00886682766659994	-0.80498124037729	-0.870663236465643	1.35282632611815	1.78137210969084	2.52720436041214e-06	0.000526510373604067	1.82596050604799	1.48096341778907e-06	0.00231194359194967
AT5G19890	-0.860853664218407	-0.595941845791736	1.29286742355433	-0.180413379231543	2.56454515304391	9.18723006712818e-07	0.000195483573007778	1.72799692247259	1.14455426834476e-05	0.00235974718900857	-1.37573035106548	-0.0690070930352243	1.15715619892864	2.85996131313603	6.90494853977977e-13	7.53126798968215e-10	1.05846001123445	0.00142471706484246	0.235866998359901
AT5G35190	-1.06540420884319	-0.157092236290997	1.20981222923346	-0.413477467636539	1.69082573303032	3.65607339359904e-11	1.95922521268749e-08	1.14045371159176	1.13041729292193e-07	4.90913773741054e-05	-0.365415447081112	-1.00060269197755	1.30443028912218	1.64574439629255	0.00213390605920683	0.0897208302716851	2.68275843681029	1.62092906349616e-06	0.00231194359194967
AT5G40590	-1.1278624284597	-0.786452686941418	0.766612811863122	0.69655733215411	1.37225099841887	8.90405579308119e-05	0.00931913198925608	0.0383108562120596	0.880711435228242	0.995102615612629	-1.17064533555589	-0.382623800118403	1.08468597201039	2.36574236169861	5.65757345393912e-13	6.57261133143954e-10	1.33411197070424	7.67773350410184e-06	0.00711802673165281
AT5G45280	0.207861724149268	0.0480758688944791	0.593142472026504	-0.765935375410536	0.103576124110125	0.495764166432232	0.93896290149639	0.323744541994724	0.0183786898166744	0.399922641629148	-0.555613233067008	-0.75263316056994	1.03370474466074	0.758391231007772	5.71646376669008e-05	0.006126859604738	0.816836906896313	1.74371205250378e-05	0.0153961470845358
AT5G57530	-0.589318952336294	-0.36658098717035	1.30989430571884	-0.589721947146716	2.17613579352642	1.09873563354215e-06	0.000224932171271212	2.12831169059528	3.61141434904264e-08	2.15398645855822e-05	-0.42336899972795	-1.07716914337172	1.15848615553282	1.88857997915592	0.00317639312641824	0.115384193133567	3.27614215375606	4.15654881466776e-05	0.0285447141190999
AT5G57540	-0.352183581477056	-0.308740732620409	1.33482004248578	-0.814769160979132	2.77401521041252	0.000221051020811876	0.0190708193404538	3.43928575152045	6.48341288188886e-06	0.00147036600369148	-0.737233394351092	-0.733443013973595	1.19130571638716	3.50984822571925	0.00125660613869606	0.0640109643508307	3.40739972172423	0.00170904167793141	0.2556020710254
AT5G57625	-1.07984465217611	-0.292435093414812	1.23287144608995	-0.292529561369469	1.21595792980985	4.4031403551698e-08	1.3370869545199e-05	0.749836797498967	4.80516268535577e-05	0.00721163055667622	-1.20735711314301	-0.62199468542924	1.01412365279617	1.61581448905061	1.45761685899861e-07	4.15802027685418e-05	1.09864293353116	0.000224427537115882	0.0904638128957106
AT5G64260	-0.0176616966071887	-0.734462826145171	1.31428436547838	-0.569224521368902	0.334673395200394	0.00200029001083009	0.0966718408417088	0.498377771619596	1.8499449583662e-07	7.55184530904252e-05	-1.69863362130289	0.394345908195256	0.229932778988221	0.582917472555456	1.56155147121142e-06	0.000348846835894001	-0.0429205004298893	0.718751309202507	0.99227495013278
AT5G64570	-0.734009769007316	-0.600425295668575	1.37629645403742	-0.335465296964467	0.531872005355511	2.31499450880125e-08	7.95833961327523e-06	0.429694400910142	2.00394880321254e-07	7.86588442737907e-05	-1.51028794693975	0.575158982973009	-0.0972444549045965	0.559759101169138	3.20806789927402e-05	0.00381307660181659	-0.252706516118214	0.0577107085027402	0.833733356587568
AT5G67400	-1.06561567169162	-0.182078799297984	1.33086082123574	-0.509412618922778	1.37701106324604	4.15333736980344e-13	5.04492045852124e-10	1.00464792556777	3.76349468017384e-10	5.90897614746372e-07	-0.128758357109087	-0.997969910011114	1.23328533809851	0.78893720611877	0.00397004103691875	0.135068809002839	1.36783069463826	1.52888735535184e-06	0.00231194359194967
