AGI code	Symbol	logFC	pVal	qVal
AT4G38410	AT4G38410	5.75E-01	1.38E-06	0.00006647
AT3G48520	CYP94B3	5.74E-01	2.18E-04	0.005996
AT5G14920	GASA14	5.73E-01	1.44E-08	9.804E-07
AT4G14130	XTR7	5.72E-01	3.31E-08	0.000002101
AT5G07010	ST2A	5.71E-01	1.06E-08	7.433E-07
AT2G42440	LBD17	5.71E-01	1.13E-04	0.003385
AT2G26290	ARSK1	5.71E-01	9.97E-06	0.0003773
AT3G62100	IAA30	5.65E-01	1.31E-04	0.003875
AT5G62480	GSTU9	5.62E-01	7.20E-05	0.002298
AT1G52830	SHY1	5.61E-01	1.23E-05	0.0004552
AT5G08790	ATAF2	5.60E-01	4.88E-09	3.604E-07
AT2G18690	AT2G18690	5.59E-01	9.63E-07	0.00004831
AT2G29330	TRI	5.58E-01	1.26E-04	0.003755
AT3G46810	AT3G46810	5.57E-01	1.64E-04	0.004736
AT3G03820	SAUR29	5.57E-01	9.32E-05	0.002868
AT5G48150	PAT1	5.56E-01	2.20E-11	2.283E-09
AT1G17170	GSTU24	5.56E-01	1.01E-04	0.003085
AT2G23790	AT2G23790	5.55E-01	3.99E-09	3.012E-07
AT2G37130	AT2G37130	5.51E-01	2.31E-08	0.000001513
AT1G29465	AT1G29465	5.48E-01	2.45E-04	0.006595
AT4G38820	AT4G38820	5.48E-01	4.19E-04	0.01055
AT5G57790	AT5G57790	5.43E-01	4.41E-04	0.01096
AT1G66480	AT1G66480	5.41E-01	9.01E-05	0.002794
AT2G41510	CKX1	5.41E-01	8.14E-05	0.002552
AT5G51380	AT5G51380	5.38E-01	3.29E-06	0.0001421
AT2G22680	WAVH1	5.38E-01	5.51E-06	0.0002233
AT3G03170	AT3G03170	5.37E-01	4.32E-04	0.01082
AT2G46750	GulLO2	5.36E-01	1.68E-05	0.0006049
AT5G48900	AT5G48900	5.35E-01	9.54E-08	0.000005809
AT3G18560	AT3G18560	5.34E-01	2.63E-05	0.0009125
